Title,Description,Link,Category,Publication Date,article_id
What India’s Jewish buildings have to say,"Jewish-origin architecture in the country appears to advocate a community-led way of life. What’s unique is that the restoration and adaptive reuse of synagogues, hospitals and houses is often funded by people of other faiths",https://www.thehindu.com/society/history-and-culture/india-jewish-buildings-heritage-restoration-jewish-architecture-fort-kochi-mumbai-ab-salem-david-sassoon-madalay-hall-maghen-david/article68022846.ece,life-and-style,"Fri, 05 Apr 2024 13:30:03 +0530",1
Chef Amninder Sandhu’s Bawri in Goa is all about age-old recipes and traditional cooking techniques,Amninder Sandhu is using open-fire cooking and indigenous ingredients in her regional Indian restaurant,https://www.thehindu.com/life-and-style/food/chef-amninder-sandhus-bawri-in-goa-is-all-about-age-old-recipes-and-traditional-cooking-techniques/article67071755.ece,life-and-style,"Fri, 04 Aug 2023 15:51:18 +0530",2
Palestinian athletes to be invited to Paris Olympics,The IOC head dismissed suggestions the IOC has treated Russia differently over its invasion of Ukraine compared with Israel and its war in Gaza,https://www.thehindu.com/sport/palestinian-athletes-to-be-invited-to-paris-olympics/article68113278.ece,Sport,"Sat, 27 Apr 2024 11:50:11 +0530",4
"Interview | Call him old or call him a find, Shashank Singh does not mind","The lad from Bhilai made his debut in senior domestic limited-overs during the 2014-15 season and earned his first Ranji Trophy cap five years later; in this IPL, he has been one of the standout performers, consistently delivering impressive performances as a middle-order batter",https://www.thehindu.com/sport/cricket/interview-call-him-old-or-call-him-a-find-shashank-singh-does-not-mind/article68180138.ece,Sport,"Thu, 16 May 2024 00:41:12 +0530",5
"Saif Ali Khan, Siddharth Anand reuniting for new project",Anand and Khan had worked together on films like ‘Salaam Namaste’ and ‘Ta Ra Rum Pum’,https://www.thehindu.com/entertainment/movies/saif-ali-khan-siddharth-anand-reuniting-for-new-project/article68220595.ece,Entertainment,"Mon, 27 May 2024 12:14:27 +0530",6
Choreographing a dance performance in a stepwell,Dancers in Hyderabad explain how they reimagine choreography to suit the design of stepwells,https://www.thehindu.com/entertainment/dance/choreographing-a-dance-performance-in-a-stepwell/article67765065.ece,Entertainment,"Thu, 25 Jan 2024 14:37:06 +0530",9
FIH Pro League: Harmanpreet's hat-trick guides India to 5-4 win over Argentina,"Besides Harmanpreet, Araijeet Singh Hundal, and Gurjant Singh also scored for India, while Federico Monja, Nicolas Keenan, Tadeo Marucci  and Lucas Martinez were on target for Argentina",https://www.thehindu.com/sport/hockey/fih-pro-league-harmanpreets-hat-trick-guides-india-to-5-4-win-over-argentina/article68220897.ece,Sport,"Mon, 27 May 2024 14:35:55 +0530",10
Tomina Mary Jose’s exhibition in Thiruvananthapuram celebrates iconic paintings,Artist Tomina Mary Jose has recreated 22 famous paintings at her exhibition,https://www.thehindu.com/entertainment/art/tomina-mary-jose-celebrates-iconic-paintings-at-her-exhibition-in-thiruvananthapuram/article68093369.ece,Entertainment,"Mon, 22 Apr 2024 16:00:23 +0530",11
Sedentary habits behind life-long lifestyle diseases: survey,"‘Inactivity may diminish life expectancy, besides influencing ageing process’",https://www.thehindu.com/news/cities/kozhikode/sedentary-habits-behind-life-long-lifestyle-diseases-survey/article35885401.ece,life-and-style,"Thu, 12 Aug 2021 21:53:28 +0530",12
On the beauty map,"With terrazzo countertops, smart backlit mirrors and spotlighting for that perfect selfie, beauty departments and stores are changing their design layout",https://www.thehindu.com/life-and-style/homes-and-gardens/beauty-stores-retail-design-layout-cosmetics-industry-brands/article68027589.ece,life-and-style,"Fri, 05 Apr 2024 15:59:21 +0530",14
2023 Hero HF Deluxe launched,"The Hero HF Deluxe is available in three variants — drum kick cast, drum self cast and i3s drum self cast",https://www.thehindu.com/life-and-style/motoring/2023-hero-hf-deluxe-launched/article66936569.ece,life-and-style,"Wed, 07 Jun 2023 06:33:41 +0530",17
Top-ranked Swiatek wins her third straight Qatar Open,Swiatek’s 18th career singles title was her first of the year,https://www.thehindu.com/sport/tennis/top-ranked-swiatek-wins-her-third-straight-qatar-open/article67859878.ece,Sport,"Sun, 18 Feb 2024 11:23:01 +0530",18
India Open Jumps | Nayana bags long jump gold with personal best mark,ATHLETICS | Tamil Nadu’s 22-year-old Pavithra Venkatesh scales 4.15m in women’s pole vault on day when no athlete threatened the Paris Games qualification mark,https://www.thehindu.com/sport/athletics/india-open-jumps-nayana-bags-long-jump-gold-with-personal-best-mark/article67973391.ece,Sport,"Wed, 20 Mar 2024 21:17:44 +0530",19
Mykolas Alekna: the history-making son chasing an all-timer dad,"The 21-year-old Lithuanian broke a world record in the discus throw that had stood since 1986. But he isn’t satisfied. After all, he has ambitions of emulating one of discus’ greatest — his father Virgilijus, a two-time Olympic and two-time World champion",https://www.thehindu.com/sport/athletics/mykolas-alekna-the-history-making-son-chasing-an-all-timer-dad/article68085374.ece,Sport,"Fri, 19 Apr 2024 23:30:00 +0530",21
Eleventh cadaveric liver transplant in 15 months performed at RGGGH,"Health Department is keen on enabling more government hospitals to perform liver transplants, and has been encouraging them to have tie-ups with well-established hospitals and receive training for the procedure",https://www.thehindu.com/news/cities/chennai/eleventh-cadaveric-liver-transplant-in-15-months-performed-at-rgggh/article68221861.ece,India,"Mon, 27 May 2024 21:46:48 +0530",22
"Bold conversation with a touch of humour: Tit for Tat, an evocative, humorous play explores a different dimension of Telugu actor Jhansi Laxmi",Jhansi Laxmi brings brings a powerful dimension to her theatre stint with her play Tit for Tat to be staged on October 30 in Hyderabad,https://www.thehindu.com/entertainment/theatre/tit-for-tat-an-evocative-humorous-play-explores-a-different-dimension-of-telugu-actor-jhansi-laxmi/article67457362.ece,Entertainment,"Thu, 26 Oct 2023 16:24:35 +0530",24
Anwesha Das impresses with her imaginative approach,Anwesha Das’s training comes through in her well-nuanced and mature abhinayas,https://www.thehindu.com/entertainment/dance/anwesha-das-impresses-with-her-imaginative-approach/article67712557.ece,Entertainment,"Sat, 06 Jan 2024 13:17:30 +0530",25
"Pravalya Duddupudi, the multi-disciplinary artist who designed sets for ‘Gaami’","Meet Pravalya Duddupudi, the painter, sculptor and calligraphy artist whose production design accentuated the grunge quotient of the Telugu film, ‘Gaami’",https://www.thehindu.com/entertainment/movies/meet-pravalya-duddupudi-the-multi-disciplinary-artist-who-designed-sets-for-gaami/article67971039.ece,Entertainment,"Thu, 21 Mar 2024 10:52:15 +0530",26
"Chennai | This summer break, try your hand at rowing",Rowing is not just about exercise; it teaches stakeholders the transience of Nature and provides opportunities to represent India in sporting events,https://www.thehindu.com/life-and-style/fitness/chennai-this-summer-break-try-your-hand-at-rowing/article68046560.ece,life-and-style,"Wed, 10 Apr 2024 16:37:54 +0530",27
MOTORCYCLING | Rajiv’s dominant run continues with eighth consecutive win,Indian National Motorcycle Racing Championship | Senthil Kumar (LGE Racing) notches up his first win in five years with a surprise victory in a dramatic Pro-Stock 165cc Open class race,https://www.thehindu.com/sport/motorsport/motorcycling-rajivs-dominant-run-continues-with-eighth-consecutive-win/article67446204.ece,Sport,"Sat, 21 Oct 2023 19:22:18 +0530",28
Wrestler Bajrang issues another clarification on why he did not give sample to NADA,"Bajrang, who has been suspended by United World Wrestling (UWW) until December 31, on the basis of the provisional suspension imposed by NADA, again claimed that he had not refused to give his sample.",https://www.thehindu.com/sport/other-sports/wrestler-bajrang-issues-another-clarification-on-why-he-did-not-give-sample-to-nada/article68160638.ece,Sport,"Fri, 10 May 2024 22:04:47 +0530",29
Sivasri Skandaprasad skilfully balances melody and mathematics,The young Carnatic vocalist established an easy rapport with the audience at the Sri Ramanavami concert in Bengaluru,https://www.thehindu.com/entertainment/music/sivasri-skandaprasad-skilfully-balances-melody-and-mathematics-at-her-ramanavami-concert-in-bengaluru/article68149441.ece,Entertainment,"Tue, 07 May 2024 17:52:41 +0530",30
Rising debt strains household savings,Household net financial savings to GDP ratio have declined due to increased borrowing and structural shifts rather than a mere change in savings pattern; there’s a need for macroeconomic policies to support household income growth to reduce its own financial stress and stabilise the macroeconomy,https://www.thehindu.com/business/Economy/rising-debt-strains-household-savings/article68207444.ece,Business,"Thu, 23 May 2024 08:30:00 +0530",31
Industrial output slows to 4.9% in March,Uneven consumption was the weakest link last year and is key monitorable in 2024-25; output contracted in 10 of 23 manufacturing segments,https://www.thehindu.com/business/Economy/industrial-output-growth-slows-to-49-in-march-from-56/article68161371.ece,Business,"Fri, 10 May 2024 18:08:39 +0530",32
Why the new anime ‘Frieren: Beyond Journey’s End’ is the future of fantasy,"In a groundbreaking shift in the genre, Kanehito Yamada’s ‘Frieren: Beyond Journey’s End’ challenges the reign of high fantasy stalwarts with a moving meditation on mortality and companionship",https://www.thehindu.com/entertainment/movies/why-the-new-anime-frieren-beyond-journeys-end-is-the-future-of-fantasy/article68028549.ece,Entertainment,"Fri, 05 Apr 2024 09:53:58 +0530",33
The unseen effects of climate change on mental health,Research has found people with schizophrenia may be at greater risk of succumbing to heat-related deaths than those with kidney or heart disease,https://www.thehindu.com/sci-tech/energy-and-environment/climate-change-mental-health-schizophrenia-depression-anxiety-disorder-high-risk/article67916556.ece,Science,"Wed, 08 May 2024 05:30:00 +0530",34
Prannoy finding his way back after chronic stomach disorder returns to trouble him,"Prannoy, who has qualified for the Paris Olympics, looked in good touch at the Asia badminton Championships in Ningbo, China when he outwitted China's Lu Guang Zu",https://www.thehindu.com/sport/other-sports/prannoy-finding-his-way-back-after-chronic-stomach-disorder-returns-to-trouble-him/article68105278.ece,Sport,"Thu, 25 Apr 2024 14:54:41 +0530",35
"Three new economic corridors for railways, says Finance Minister in speech",Finance Minister Nirmala Sitharaman announces three new economic corridors for railways while introducing the Interim Budget for 2024 in the Lok Sabha,https://www.thehindu.com/business/budget/budget-2024-three-new-economic-corridors-for-railways-says-finance-minister-in-speech/article67799569.ece,Business,"Thu, 01 Feb 2024 12:13:18 +0530",36
World’s largest grain storage plan: Centre to implement pilot project in 10 districts,"Various schemes of the Ministries of Agriculture and Farmers Welfare, Consumer Affairs, Food and Public Distribution and Food Processing Industries have been converged",https://www.thehindu.com/news/national/cabinet-approves-inter-ministerial-committee-for-largest-grain-storage/article66917127.ece,Business,"Wed, 31 May 2023 22:14:19 +0530",39
Harinie Jeevitha’s  ‘Varadarajam Upasmahe’ had all the artistic elements in the right proportion,The young dancer impressed with her lithe movements and intense abhinaya,https://www.thehindu.com/entertainment/dance/harinie-jeevithas-varadarajam-upasmahe-had-all-the-artistic-elements-in-the-right-proportion/article68093449.ece,Entertainment,"Mon, 22 Apr 2024 13:34:57 +0530",40
"Vithya was expelled from Reliance centre, reveals chief national coach","ATHLETICS | These are just rumours... she was not expelled, clarifies her coach Nehpal Singh",https://www.thehindu.com/sport/athletics/vithya-was-expelled-from-reliance-centre-reveals-chief-national-coach/article67917600.ece,Sport,"Tue, 05 Mar 2024 20:09:58 +0530",41
"EV scooter sales spike, Ola leads the way","A peek at how major players in the electric two-wheeler market have performed in the last month. All numbers are from the government’s VAHAN portal, dated April 6, 2023.",https://www.thehindu.com/life-and-style/motoring/ev-sales-spike-ola-leads-the-way/article66712971.ece,life-and-style,"Sun, 09 Apr 2023 09:27:01 +0530",42
CEO of Bulgari Jean-Cristophe Babin on the brand’s new launches and its India plans,"Jean-Cristophe Babin, CEO of Bulgari, talks about what keeps the industry ticking and the brand’s boutique launch in Mumbai",https://www.thehindu.com/life-and-style/ceo-of-bulgari-jean-cristophe-babin-on-the-brands-new-launches-and-its-india-plans/article67347649.ece,life-and-style,"Fri, 13 Oct 2023 17:09:14 +0530",44
India's Adani Energy Solutions to raise up to $1.5 billion,Adani Energy has not specified the reason for the fundraise and the price at which the securities will be issued,https://www.thehindu.com/business/Industry/indias-adani-energy-solutions-to-raise-up-to-15-billion/article68222460.ece,Business,"Mon, 27 May 2024 21:12:00 +0530",45
Some Opposition parties will perish after Lok Sabha election results are declared: Ravi Kishan,"INDIA bloc candidate from Gorakhpur Kajal Nishad, who too is an actor-politician, has accused Ravi Kishan of being an outsider",https://www.thehindu.com/elections/lok-sabha/some-opposition-parties-will-perish-after-lok-sabha-election-results-are-declared-ravi-kishan/article68223963.ece,India,"Tue, 28 May 2024 10:55:04 +0530",46
Philippines opens coast guard post after China build-up,"The outpost “shall gather essential maritime data and intelligence, enabling the (Philippine Coast Guard) to respond effectively to threats such as illicit trade, trafficking, piracy, and foreign intrusions”, Philippine’s National Security Adviser Eduardo Ano said.",https://www.thehindu.com/news/international/philippines-opens-coast-guard-post-after-china-build-up/article68211554.ece,World,"Fri, 24 May 2024 22:48:00 +0530",47
How cancer helped Bengaluru musician Konarak Reddy redefine his art,"After beating cancer, Konarak Reddy is all set for his upcoming concert, Bangalore 1974, which celebrates his 50-year journey in music.",https://www.thehindu.com/entertainment/music/how-cancer-helped-bengaluru-musician-konarak-reddy-to-redefine-his-art/article68214919.ece,Entertainment,"Tue, 28 May 2024 12:32:42 +0530",48
The vibrant culture of Gujarat comes alive at Rann Utsav in Kutch,"Prized buffaloes, white desert sunsets, stargazing and a Harappan site in India’s westernmost district",https://www.thehindu.com/life-and-style/the-vibrant-culture-of-gujarat-comes-alive-at-rann-utsav-in-kutch/article67650374.ece,life-and-style,"Fri, 12 Jan 2024 15:01:20 +0530",49
Getting your home Diwali-ready,"Use simple vases, fairy lights, and flowers to give a minimalist yet budget-friendly makeover to your decor",https://www.thehindu.com/life-and-style/homes-and-gardens/festival-decor-home-interiors-brands/article67488278.ece,life-and-style,"Fri, 03 Nov 2023 17:01:40 +0530",50
Mike Tyson will fight Jake Paul in sanctioned heavyweight bout,"Tyson, 50-6 with 44 knockouts, has not won a fight since beating Clifford Etienne in 2003",https://www.thehindu.com/sport/other-sports/mike-tyson-will-fight-jake-paul-in-sanctioned-heavyweight-bout/article68126490.ece,Sport,"Wed, 01 May 2024 04:47:00 +0530",51
"And, the waiting period for Mahindra Thar is....","The Thar 2WD gets Mahindra’s D117, a 1.5-litre diesel engine that produces 118hp and 300Nm of torque.",https://www.thehindu.com/life-and-style/motoring/and-the-waiting-period-for-mahindra-thar-is/article66873115.ece,life-and-style,"Tue, 23 May 2023 08:59:39 +0530",53
‘Twisterhood’ and the school of running wizardry,"On the eve of Tower Twisters’ anniversary, a look at the systems that make this running group special",https://www.thehindu.com/news/cities/chennai/twisterhood-and-the-school-of-running-wizardry/article65261871.ece,life-and-style,"Sat, 26 Mar 2022 22:36:58 +0530",54
Bookings open for Tata Altroz CNG,"The Altroz CNG is powered by a 1.2-litre, three-cylinder engine that is paired to a 5-speed manual gearbox",https://www.thehindu.com/life-and-style/motoring/bookings-open-for-tata-altroz-cng/article66758273.ece,life-and-style,"Thu, 20 Apr 2023 12:27:26 +0530",55
