UserId,SessionId,ArticleId_served,Click,Time_Spent
1,1_1,2856,Yes,232
1,1_1,1249,Yes,167
1,1_1,285,Yes,50
1,1_1,550,Yes,36
1,1_1,2521,No,0
1,1_1,2603,Yes,268
1,1_1,1421,Yes,75
1,1_1,2664,Yes,113
1,1_1,2729,Yes,190
1,1_1,1706,Yes,68
1,1_2,2013,Yes,143
1,1_2,308,Yes,194
1,1_2,2221,Yes,88
1,1_2,1443,Yes,234
1,1_2,117,Yes,181
1,1_2,1055,Yes,164
1,1_2,1117,Yes,79
1,1_2,1555,Yes,284
1,1_3,851,Yes,212
1,1_3,1269,Yes,47
1,1_3,595,No,0
1,1_3,1444,Yes,121
1,1_3,97,Yes,214
1,1_3,2825,Yes,27
1,1_3,1668,Yes,271
1,1_3,337,Yes,263
2,2_1,179,Yes,291
2,2_1,1511,Yes,232
2,2_1,912,Yes,244
2,2_1,198,Yes,9
2,2_1,490,No,0
2,2_1,2349,Yes,256
2,2_1,974,Yes,237
2,2_1,2545,No,0
3,3_1,2664,Yes,116
3,3_2,824,Yes,97
3,3_2,2161,Yes,274
3,3_2,2837,Yes,56
3,3_2,2860,Yes,272
3,3_2,2132,Yes,210
3,3_2,1485,Yes,200
3,3_2,1409,No,0
3,3_2,2355,Yes,107
3,3_2,2352,No,0
3,3_2,2725,Yes,208
3,3_3,1598,Yes,14
3,3_3,715,Yes,19
3,3_3,1529,No,0
3,3_3,2638,Yes,106
3,3_3,1355,Yes,24
3,3_3,1113,Yes,64
3,3_3,1525,Yes,270
3,3_3,2089,No,0
3,3_4,1225,Yes,258
3,3_4,2532,Yes,18
3,3_4,1183,Yes,178
3,3_4,1158,Yes,13
3,3_4,1883,No,0
3,3_4,2847,Yes,15
3,3_4,1536,Yes,55
3,3_4,1736,No,0
3,3_4,483,Yes,167
3,3_4,2748,Yes,3
4,4_1,2770,No,0
4,4_1,559,Yes,13
4,4_1,2875,Yes,287
4,4_1,2001,Yes,171
4,4_1,2068,Yes,256
4,4_2,1681,Yes,256
4,4_2,2299,No,0
4,4_3,2176,No,0
4,4_3,1629,No,0
4,4_3,167,Yes,178
5,5_1,506,Yes,235
5,5_1,861,Yes,298
5,5_1,1651,No,0
5,5_1,778,Yes,30
5,5_1,173,Yes,225
5,5_1,1799,Yes,125
5,5_1,1075,Yes,271
5,5_1,1103,Yes,106
5,5_2,2131,Yes,23
5,5_2,925,Yes,226
5,5_2,373,Yes,71
5,5_2,321,No,0
5,5_2,2084,Yes,254
5,5_2,2436,Yes,80
5,5_2,2397,Yes,230
5,5_2,180,Yes,123
5,5_2,1937,Yes,38
5,5_3,2873,Yes,54
5,5_3,2546,Yes,262
5,5_3,826,Yes,175
5,5_3,434,Yes,54
5,5_3,1086,Yes,64
5,5_4,86,Yes,277
5,5_4,1290,Yes,261
5,5_4,1908,Yes,179
5,5_4,1256,Yes,225
5,5_4,1563,Yes,17
5,5_4,1217,Yes,182
5,5_4,512,Yes,202
5,5_4,527,No,0
5,5_5,2172,Yes,227
5,5_5,267,Yes,190
5,5_5,2104,Yes,117
5,5_5,1777,Yes,93
6,6_1,2866,Yes,278
6,6_2,2892,Yes,247
6,6_2,1801,Yes,83
6,6_2,326,Yes,239
6,6_2,827,Yes,137
6,6_2,1277,Yes,7
6,6_2,1038,Yes,82
6,6_2,2637,Yes,178
6,6_2,2085,Yes,201
6,6_2,418,Yes,242
6,6_3,1468,Yes,77
6,6_3,2067,Yes,124
6,6_3,2460,Yes,92
6,6_3,2344,Yes,151
6,6_3,358,Yes,150
6,6_3,667,Yes,227
6,6_3,119,Yes,47
6,6_3,2560,Yes,70
6,6_3,1497,No,0
6,6_3,2611,Yes,214
6,6_4,358,Yes,259
6,6_4,1832,Yes,206
6,6_4,1167,Yes,225
6,6_4,2804,Yes,283
6,6_4,2672,Yes,32
6,6_4,1100,No,0
6,6_4,1916,Yes,221
6,6_4,1184,Yes,185
6,6_4,1102,Yes,275
6,6_5,512,Yes,70
6,6_5,1159,Yes,59
6,6_5,240,Yes,3
7,7_1,1353,Yes,270
7,7_1,1182,No,0
7,7_1,491,No,0
7,7_1,2368,Yes,183
7,7_1,1908,Yes,60
7,7_1,77,Yes,111
7,7_1,1721,Yes,236
7,7_1,885,Yes,265
7,7_2,1547,No,0
7,7_3,1613,Yes,232
7,7_3,277,Yes,34
7,7_3,1845,Yes,139
7,7_3,530,Yes,122
7,7_3,2277,Yes,208
7,7_3,331,No,0
7,7_3,77,Yes,280
8,8_1,1123,Yes,297
8,8_1,74,Yes,170
8,8_1,2523,Yes,191
8,8_1,2058,Yes,98
8,8_1,2691,No,0
8,8_2,1404,Yes,154
9,9_1,2418,Yes,182
9,9_1,1596,Yes,274
9,9_1,820,No,0
9,9_1,1251,Yes,13
9,9_1,1681,Yes,186
9,9_1,911,No,0
9,9_1,364,Yes,88
9,9_1,1064,Yes,171
9,9_1,83,Yes,242
9,9_1,2565,Yes,76
9,9_2,2162,Yes,103
9,9_2,775,Yes,214
9,9_2,2411,Yes,96
9,9_2,1856,Yes,2
9,9_2,94,No,0
10,10_1,415,Yes,7
10,10_1,1832,No,0
10,10_1,2580,Yes,253
10,10_1,172,No,0
10,10_1,1621,No,0
10,10_2,544,Yes,132
10,10_2,1745,Yes,113
10,10_2,2854,No,0
10,10_2,1621,No,0
10,10_2,524,Yes,198
10,10_2,1900,Yes,109
10,10_2,2809,Yes,160
